	Products of agriculture, hunting and related services	Products of forestry, logging and related services	Fish and other fishing products; aquaculture products; support services to fishing	Mining and quarrying	Food products; beverages; tobacco products 	Textiles; wearing apparel; leather and related products	Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials	Paper and paper products	Printing and recording services	Coke and refined petroleum products	Chemicals and chemical products	Basic pharmaceutical products and pharmaceutical preparations	Rubber and plastics products	Other non-metallic mineral products	Basic metals	Fabricated metal products, except machinery and equipment	Computer, electronic and optical products	Electrical equipment	Machinery and equipment n.e.c.	Motor vehicles, trailers and semi-trailers	Other transport equipment	Furniture; other manufactured goods	Repair and installation services of machinery and equipment	Electricity, gas, steam and air conditioning	Natural water; water treatment and supply services	Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services 	Constructions and construction works	Wholesale and retail trade and repair services of motor vehicles and motorcycles	Wholesale trade services, except of motor vehicles and motorcycles	Retail trade services, except of motor vehicles and motorcycles	Land transport services and transport services via pipelines	Water transport services	Air transport services	Warehousing and support services for transportation	Postal and courier services	Accommodation and food services	Publishing services	Motion picture, video and television programme production services, sound recording and music publishing; programming and broadcasting services	Telecommunications services	Computer programming, consultancy and related services; information services	Financial services, except insurance and pension funding	Insurance, reinsurance and pension funding services, except compulsory social security	Services auxiliary to financial services and insurance services	Real estate services	Imputed rents of owner-occupied dwellings	Legal and accounting services; services of head offices; management consulting services	Architectural and engineering services; technical testing and analysis services	Scientific research and development services	Advertising and market research services	Other professional, scientific and technical services; veterinary services	Rental and leasing services	Employment services	Travel agency, tour operator and other reservation services and related services	Security and investigation services; services to buildings and landscape; office administrative, office support and other business support services	Public administration and defence services; compulsory social security services	Education services	Human health services	Residential care services; social work services without accommodation	Creative, arts and entertainment services; library, archive, museum and other cultural services; gambling and betting services	Sporting services and amusement and recreation services	Services furnished by membership organisations	Repair services of computers and personal and household goods	Other personal services	Services of households as employers; undifferentiated goods and services produced by households for own use	Services provided by extraterritorial organisations and bodies
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	44a	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
1. Products of agriculture, hunting and related services	1.07827675784098	0.00115942267447738	0.0235514060327633	0.00506475336764738	0.340342134713689	0.0551707814083198	0.00632941206996912	0.0101196573812004	0.0044758924304923	0.0046278240068107	0.0294012682518181	0.029133064331357	0.0225419861459039	0.00531389109195167	0.00464639306334311	0.00364391244500614	0.00312923906730956	0.0046217302857628	0.00388439075087014	0.00622839872170955	0.00370646168793348	0.00655796377903967	0.00332698609541047	0.00626193426759205	0.00768970030756003	0.00373946093745942	0.00358794395687184	0.00296812083507889	0.00802052966412049	0.00422387150217104	0.00209414052995868	0.00214991826839742	0.0032413367313946	0.00229110454604597	0.00103100774056073	0.0606539013845762	0.002401110544971	0.00257603713953579	0.00146944711062333	0.00355204039411386	0.00142454316302192	0.00131746145839268	0.00178902551814909	0.000797253702290921	0	0.00215768744551321	0.00331947753194891	0.00855146904923247	0.00253546010902964	0.00340990522616719	0.00239410969233555	0.000415866378770868	0.02813486621825	0.00293112798187253	0.0041745830045963	0.00446297552945133	0.00645307184846856	0.00891220179628353	0.00601102315641422	0.00744896873172687	0.00592368658533819	0.00174813081910053	0.00300928403966338	0	0
2. Products of forestry, logging and related services	0.00103974218330124	1.67326528750368	0.00064677063522532	0.00148233654711024	0.00221545356818491	0.000979881654227782	0.0372743894878791	0.0442732007589523	0.00466745879506048	0.00121970892239116	0.00149202931846837	0.00233733555868045	0.00572568697049322	0.00166492908850236	0.00132485537528298	0.0010158566693439	0.000509132340982008	0.00128050134919384	0.00102888311666701	0.00125951647266385	0.00062875498405869	0.00754964899190572	0.000704230108715492	0.0020897619279953	0.00041099681403382	0.00134659748363186	0.000942482448356661	0.000564986895586291	0.000575170017935776	0.000229303343423878	0.000405764494682873	0.000435674265041766	0.00062701032517636	0.000366653171406517	0.000162106239840061	0.000970307025222743	0.00279490417505262	0.000400163936069438	0.000279159176895736	0.000426343244447791	0.000410998996733584	0.000408022956645454	0.000522616564839127	0.000110886066959525	0	0.000190730833373485	0.000664897986439881	0.000374106502412189	0.000661298544977196	0.000371756293463351	0.000345443788478951	0.0000558540913616786	0.00059854529960888	0.000299901930518374	0.000423623299794452	0.000275237843166586	0.000502825274635751	0.000261228130471934	0.000272548272312212	0.000277823166483618	0.000332341146622193	0.000244137508273372	0.000235107382757151	0	0
3. Fish and other fishing products; aquaculture products; support services to fishing	0.000419548262114281	0.00000680351873554096	1.01678992011094	0.0000288443704411981	0.00248402233007762	0.0000624402159608315	0.0000208668318936986	0.0000364921798026249	0.0000171328599327229	0.0000273226888262588	0.0000591779212833031	0.0000989765975127651	0.0000295984922968227	0.0000216696974603165	0.0000231547071764057	0.0000180811918222355	0.0000182316443694764	0.0000201331840937082	0.0000180136233074879	0.0000233084660650382	0.0000205337071489856	0.0000200939426662402	0.0000202721434103342	0.0000396527815292191	0.0000425577546620453	0.000017900712741744	0.0000195585653385099	0.0000131449568970005	0.0000615062745596902	0.0000292667455184936	0.000012998059785598	0.0000135125805348783	0.0000262660245669673	0.0000107090872496629	0.00000682238376339357	0.000430768908106609	0.0000171060323154762	0.0000153737281980366	0.0000138844674255544	0.0000276370466251609	0.00000935498944536651	0.0000083043651143123	0.0000111114258786902	0.00000521322868703241	0	0.0000124980189291488	0.0000196520281004861	0.0000272068225500706	0.0000154852785492862	0.0000165545849211869	0.0000151766469047734	0.00000421014799701397	0.000199508391021109	0.00000912692334393434	0.000106484633547892	0.000370993546661451	0.000112564588756961	0.000509084060266517	0.0000589062764630225	0.0000417370967775893	0.0000500243055571803	0.0000114500443645567	0.0000184742559911534	0	0
4. Mining and quarrying	0.0218212535142482	0.010632837606922	0.0600723949970492	1.05894529989078	0.0223096711671126	0.0130970522394986	0.0360208837761145	0.0405527428669716	0.0211762532258939	0.747982032728326	0.0644515852370494	0.0189761772457528	0.0318200139435114	0.12001248336236	0.154743240327127	0.0599571171903887	0.01938868901115	0.0798517145688485	0.0365836762404927	0.044340886213309	0.0273047725516357	0.0268817641493187	0.0294695533833405	0.17933970531756	0.0242678869783171	0.031208542815003	0.0333630508272668	0.0214920296349385	0.0158465314896773	0.00933459190274315	0.06206540805849	0.0599115740437798	0.119092835336956	0.0210927338783606	0.0146367213507464	0.0128819044933373	0.0106000217520711	0.0108763863144301	0.0121636290408759	0.00825826986653166	0.00342600731691626	0.00356895877806113	0.00440269845023396	0.00520337077390141	0	0.00777189001083089	0.016543304566056	0.0136643993797398	0.00855750978332522	0.0063624719342551	0.011065066600028	0.00181677426279198	0.0203673091538039	0.00649440758402581	0.00959180445409685	0.00599091716853404	0.00755587857605511	0.00931052073164102	0.00682137341697478	0.00923813197960601	0.00866752491886581	0.0104431417655153	0.00755951315287916	0	0
5. Food products; beverages; tobacco products 	0.225409789276819	0.00254587455113672	0.0868043623811249	0.0134780173643569	1.34267170536012	0.031636388820345	0.0082319930360952	0.017142883193133	0.00640451417835233	0.0122032139373559	0.028396234615245	0.0450188623663668	0.012782387714816	0.00918031510748288	0.0089285126351621	0.00686988955298893	0.00582801794408232	0.00764342208466802	0.00669816745366793	0.0085319952013607	0.0069432673894367	0.00783747145859541	0.00818909406047932	0.0189516022769631	0.0206694442774071	0.00687847352176945	0.00669249094062118	0.0044591698154137	0.0179624585165191	0.0120545050375185	0.00533075005658452	0.00542459652914443	0.00836913309659697	0.00468795053594096	0.00270688495089703	0.213440388833924	0.00580372036034814	0.00585699308234843	0.00339776527549044	0.010450086601842	0.00388354869172613	0.00354814221109754	0.00462392129132887	0.00220019330303997	0	0.00518577200337539	0.00756202529761742	0.0122836915671326	0.00519487233765528	0.00646995867806051	0.00636654449013578	0.00113414156566928	0.0980346146999349	0.00313057006012883	0.00915979231190237	0.00923604168464582	0.0140290045065645	0.0281769530508931	0.0209331337889347	0.0213184847868841	0.0190419656415169	0.00367288828315166	0.00898138770659752	0	0
6. Textiles; wearing apparel; leather and related products	0.00193547319538627	0.000535162114257225	0.0211580064456072	0.00271394135149266	0.00285330495174452	1.28894138065906	0.0032623282781365	0.010084857273431	0.00344191646238127	0.00248892005970272	0.00787359070675532	0.00808192620087056	0.0184943547259425	0.00374329097384572	0.00317765944529988	0.00292439416754208	0.0021994914240502	0.0045166583099394	0.00318068653806231	0.018986287059164	0.00529588278349676	0.0449916381623151	0.00364836273078458	0.00205771165207788	0.00309019737419004	0.00590755813019362	0.00448273055307233	0.00483189289686228	0.00416813561088845	0.00194244635532066	0.00243257737737567	0.00200121699530108	0.00285319443875508	0.00351262051338481	0.00114210260107353	0.00953145679588895	0.0024893508406354	0.00226666636494551	0.00144724362983444	0.0023611160408692	0.00118554371825546	0.00106945822040828	0.0014333172669147	0.000892408951805127	0	0.00107563283388273	0.00592941116884683	0.00432882103277348	0.00782974171147014	0.0166654292248416	0.00332723017259469	0.000311010115182359	0.00535856009037667	0.00397791566680645	0.00319682445449744	0.00131263131637344	0.00353976849435917	0.0027352360125284	0.00270707364589024	0.00275698188812419	0.00407937825270621	0.00708457330826255	0.00654886490922689	0	0
7. Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials	0.00362088783325021	0.000639046822707969	0.0106547697202079	0.0182835027834976	0.00821423886562835	0.00411595947636464	1.52816220678136	0.0182528047943827	0.0074339252215338	0.0138903259680403	0.00658351661865938	0.00592170407506172	0.0109059559175136	0.0174133028766869	0.0175019087064693	0.0108196763294961	0.00350661759850976	0.0116018112179574	0.0148808159785935	0.00962921980494728	0.00486862246546458	0.101977626073173	0.00751187381750599	0.0057758966700928	0.00278129739204033	0.00339985585808351	0.0202217992828939	0.00293364548045596	0.00363929806345004	0.00181761237223946	0.00589494960450178	0.00343697723208646	0.00496597590335856	0.00476266882674301	0.0012559001708033	0.00516543449900185	0.00247009021745668	0.00274419309763627	0.0022808976138922	0.00204921707022034	0.00114843419414913	0.00100899362505094	0.00139009316143918	0.00124630070018871	0	0.00108702801547645	0.00506272894928694	0.00304621314934335	0.00222692005763781	0.00210204313177156	0.00464415891990194	0.000824619910357291	0.00347776252362963	0.00371347350247608	0.0013871903339581	0.00159414932694679	0.003746930914804	0.00162010777557347	0.00164893096811543	0.00195662264828646	0.00333325217041575	0.00192761778914718	0.00190201587874065	0	0
8. Paper and paper products	0.00929670492632733	0.00108913242105377	0.00606716231914883	0.00797965677627778	0.0367877925743404	0.0216591629460747	0.0812499257139501	1.44880401809088	0.138455384463012	0.0072751839589943	0.0241120431529015	0.0313488890867006	0.0291034479271161	0.024721984459584	0.0157405404664568	0.016515126876479	0.00755383429181292	0.0189792432765716	0.0132539222628547	0.0129014316719753	0.00899307728402137	0.0388411407706183	0.0113688781699439	0.0110479697730063	0.00562035831223599	0.0242296123951324	0.00736862376242472	0.0066830960443806	0.00655080489331553	0.00285442430266734	0.00318608524116128	0.00411956644126938	0.00604546270445124	0.00357638314502302	0.00174648156389203	0.0126899993123489	0.0881375530291944	0.00634776648192213	0.00360728631198976	0.00946006960829925	0.0111762690236322	0.0113607208685478	0.0142815523045712	0.00127779954206275	0	0.00330342306610254	0.0127948627475537	0.00616104803903705	0.0153353918001213	0.00772370818054057	0.00364359590807827	0.000686537187401528	0.00826530523750899	0.0030075308655923	0.00382452361823963	0.00616068163532746	0.00603714899096568	0.00343951521734099	0.00349563536164114	0.00422871185446033	0.00527304644071847	0.00342295885615952	0.00328169439075381	0	0
9. Printing and recording services	0.00398172138094738	0.00103526655095166	0.00314771037251406	0.00441051247166127	0.0094908171139913	0.00373347903692008	0.00525291266470999	0.00475411033506745	1.16727982513811	0.00451457856403401	0.0196822269322983	0.047631058783761	0.00952318368258877	0.00624726603655209	0.00650293208689184	0.00772279689408062	0.0040074241714198	0.00750669606974183	0.0100638899071468	0.00673853343787001	0.00783816128074967	0.00695754423237065	0.017981426714419	0.00580669869311859	0.00428628551981271	0.0029512966916808	0.00514690265577334	0.0069267187380024	0.00781046154669244	0.00351070354332819	0.00232846105796576	0.00445791711656352	0.00644762570952235	0.00215198894861094	0.00147589042774464	0.00361779698274291	0.00452347027794587	0.003954588903843	0.00514354440943917	0.0298925638579631	0.00324926185709086	0.00643680954394488	0.0117265514260856	0.00198662200275358	0	0.00747264967600904	0.0450245122655887	0.005633861949052	0.0278922113613312	0.0022833427536255	0.00244400744339469	0.00103707156844266	0.00742266744872341	0.00548449436029111	0.00368339813750861	0.00174452776935119	0.00483048702680083	0.00288026854953774	0.003463440195869	0.00374345993642263	0.00166620383966403	0.00413737233092395	0.00170439876171197	0	0
