|Crop and animal production, hunting and related service activities|Forestry and logging|Fishing and aquaculture|Mining and quarrying|Manufacture of food products, beverages and tobacco products |Manufacture of textiles, wearing apparel and leather products|Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials|Manufacture of paper and paper products|Printing and reproduction of recorded media|Manufacture of coke and refined petroleum products|Manufacture of chemicals and chemical products|Manufacture of basic pharmaceutical products and pharmaceutical preparations|Manufacture of rubber and plastic products|Manufacture of other non-metallic mineral products|Manufacture of basic metals|Manufacture of fabricated metal products, except machinery and equipment|Manufacture of computer, electronic and optical products|Manufacture of electrical equipment|Manufacture of machinery and equipment n.e.c|Manufacture of motor vehicles, trailers and semi-trailers|Manufacture of other transport equipment|Manufacture of furniture; other manufacturing|Repair and installation of machinery and equipment|Electricity, gas, steam and air conditioning supply|Water collection, treatment and supply|Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services |Construction|Wholesale and retail trade and repair of motor vehicles and motorcycles|Wholesale trade, except of motor vehicles and motorcycles|Retail trade, except of motor vehicles and motorcycles|Land transport and transport via pipelines|Water transport|Air transport|Warehousing and support activities for transportation|Postal and courier activities|Accommodation; food and beverage service activities|Publishing activities|Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities|Telecommunications|Computer programming, consultancy and related activities; information service activities|Financial service activities, except insurance and pension funding|Insurance, reinsurance and pension funding, except compulsory social security|Activities auxiliary to financial services and insurance activities|Real estate activities|Imputed rents of owner-occupied dwellings|Legal and accounting activities; activities of head offices; management consultancy activities|Architectural and engineering activities; technical testing and analysis|Scientific research and development|Advertising and market research|Other professional, scientific and technical activities; veterinary activities|Rental and leasing activities|Employment activities|Travel agency, tour operator reservation service and related activities|Security and investigation activities; services to buildings and landscape activities; office administrative, office support and other business support activities|Public administration and defence; compulsory social security|Education|Human health activities|Social work activities|Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities|Sports activities and amusement and recreation activities|Activities of membership organisations|Repair of computers and personal and household goods|Other personal service activities|Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use|Activities of extra-territorial organisations and bodies|Total output|Total imports  (1)|Intra EU imports|Extra EU imports|Total supply at basic prices|Trade margins|Transport margins|Taxes less subsidies on products|Total supply at purchasers' prices
|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|44a|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|||||||||
1. Products of agriculture, hunting and related services|49886.6|0.6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|76|0|232.4|13.4|0.6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8.3|34.6|12.7|0|0|0|0|0|0|0|0|0|0|50265.2|10088.2|4020|6068.2|60353.4|20041.7|695.2|194.1|81284.4
2. Products of forestry, logging and related services|12|1703.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|20.5|0|0|0|1.6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|112.2|0|0|0|0|0|0|0|0|0|0|1849.8|105.9|90.8|15.1|1955.7|187.3|10.9|40.4|2194.3
3. Fish and other fishing products; aquaculture products; support services to fishing|0|0|2543.8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2543.8|1469.4|1061.1|408.3|4013.2|1159.2|46.2|410.6|5629.2
4. Mining and quarrying|0|0|0|5407.8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|78.1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|0|0|0|0|0|0|5495.9|38977.6|1584.1|37393.5|44473.5|712.8|1450.6|219.9|46856.8
5. Food products; beverages; tobacco products |1386.6|0|0|0|117161.7|12.5|0|0|0|0|272.5|135.1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2639|1589.6|0.1|0|0|137.5|0|256.1|0|0|0|0|0|0|0|44.7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|43.6|0|0|0|0|123679|26694.4|16119.1|10575.3|150373.4|37403|1311.2|17075.1|206162.7
6. Textiles; wearing apparel; leather and related products|0|0|0|0|0|17881.9|8.3|15|11.9|0|100|0|155.1|0|0|23.8|0|3.4|0|10.7|0|129.5|0|0|0|0|0|0|276.9|681.2|0|0|0|0|0|0|0|0|0|0|0|0|0|2.1|0|0|0|0|0|0|0|0|0|3.2|2.9|0|0|1.5|0|0|0|0|62.5|0|0|19369.9|28329.7|8736|19593.7|47699.6|12975.2|95.1|6132.5|66902.4
7. Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials|0|0|0|0|0|5.7|6392.1|0|3.3|0|0|0|6.2|3|0|32.9|0|0|0|0|2.9|210|14.2|0|0|0|0|0|21.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.1|0|0|0|0|0|38.9|0|0|9.7|0|12.6|0|0|6753.1|1752.5|1314.5|438|8505.6|1936.1|210.7|129.1|10781.5
8. Paper and paper products|0|0|0|0|0|96.5|97.6|13351.9|1389.8|0|10.7|111.4|50.2|0|0|0|0|0|0|0|0|3.9|0|0|0|0|0|0|0.4|0|0|0|0|0|0|0|7.7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|0|0|0|0|15124.1|4694.4|3944.8|749.6|19818.5|3796.7|109.8|771.6|24496.6
9. Printing and recording services|0|0|0|0|0|144.3|7.3|70.8|3976.6|0|0|0|242.7|0|0|14.1|11.5|5.3|0|0|0|6.5|0|0|0|0.5|13.2|0|4.5|63|0|0|0|0|0|0|115.6|0|0|0|0|0|0|0|0|0|0|0|0|0.3|0|5.5|0|0|25|0|0|0|0|0|15.8|0|0.3|0|0|4722.8|263.5|173.5|90|4986.3|51.5|0.2|81.4|5119.4
10. Coke and refined petroleum products|0|0|0|24.1|0|0|0|0|0|35569.6|1460.5|0|0|320|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9.9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|37384.1|11711.3|5488.5|6222.8|49095.4|4548.8|340|19571.9|73556.1
