Branch of activity (CNAE 2009);Polluting substances;period;Total
01: Crop and animal production, hunting and related service activities;CO2 - Carbon dioxide (thousands tonnes);2019;10,771.5
01: Crop and animal production, hunting and related service activities;CH4 - Methane (tonnes);2019;145.5
01: Crop and animal production, hunting and related service activities;N2O - Nitrous oxide (tonnes);2019;1,757.8
01: Crop and animal production, hunting and related service activities;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;1,946.9
01: Crop and animal production, hunting and related service activities;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;5,191.5
01: Crop and animal production, hunting and related service activities;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;517.1
01: Crop and animal production, hunting and related service activities;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;316.4
01: Crop and animal production, hunting and related service activities;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;4,612.1
01: Crop and animal production, hunting and related service activities;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;232.3
01: Crop and animal production, hunting and related service activities;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;15,934.4
01: Crop and animal production, hunting and related service activities;NH3 - Ammonia (tonnes);2019;12,916.5
01: Crop and animal production, hunting and related service activities;CO - Carbon monoxide (tonnes);2019;652.0
01: Crop and animal production, hunting and related service activities;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;386.4
02: Forestry and logging;CO2 - Carbon dioxide (thousands tonnes);2019;22,746.4
02: Forestry and logging;CH4 - Methane (tonnes);2019;9,480.9
02: Forestry and logging;N2O - Nitrous oxide (tonnes);2019;351.6
02: Forestry and logging;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;29.3
02: Forestry and logging;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;188.7
02: Forestry and logging;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;1,083.0
02: Forestry and logging;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;531.5
02: Forestry and logging;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;181.6
02: Forestry and logging;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;39.9
02: Forestry and logging;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;144.6
02: Forestry and logging;NH3 - Ammonia (tonnes);2019;42,532.3
02: Forestry and logging;CO - Carbon monoxide (tonnes);2019;78.0
02: Forestry and logging;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;1,980.7
03: Fishing and aquaculture;CO2 - Carbon dioxide (thousands tonnes);2019;3,299.6
03: Fishing and aquaculture;CH4 - Methane (tonnes);2019;262.0
03: Fishing and aquaculture;N2O - Nitrous oxide (tonnes);2019;1,192.9
03: Fishing and aquaculture;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;659.0
03: Fishing and aquaculture;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;24,412.7
03: Fishing and aquaculture;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;3,307.7
03: Fishing and aquaculture;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;13,607.2
03: Fishing and aquaculture;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;797.4
03: Fishing and aquaculture;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;52.1
03: Fishing and aquaculture;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;2,710.0
03: Fishing and aquaculture;NH3 - Ammonia (tonnes);2019;34.1
03: Fishing and aquaculture;CO - Carbon monoxide (tonnes);2019;59.3
03: Fishing and aquaculture;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;93.8
05-09: Mining and quarrying;CO2 - Carbon dioxide (thousands tonnes);2019;72.9
05-09: Mining and quarrying;CH4 - Methane (tonnes);2019;123.5
05-09: Mining and quarrying;N2O - Nitrous oxide (tonnes);2019;66.5
05-09: Mining and quarrying;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;38.5
05-09: Mining and quarrying;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;453.8
05-09: Mining and quarrying;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;227.4
05-09: Mining and quarrying;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;102.1
05-09: Mining and quarrying;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;60.5
05-09: Mining and quarrying;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;39.1
05-09: Mining and quarrying;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;34.1
05-09: Mining and quarrying;NH3 - Ammonia (tonnes);2019;128.6
05-09: Mining and quarrying;CO - Carbon monoxide (tonnes);2019;26.0
05-09: Mining and quarrying;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;29.2
10-12: Manufacture of food products, beverages and tobacco products;CO2 - Carbon dioxide (thousands tonnes);2019;260.7
10-12: Manufacture of food products, beverages and tobacco products;CH4 - Methane (tonnes);2019;4,369.2
10-12: Manufacture of food products, beverages and tobacco products;N2O - Nitrous oxide (tonnes);2019;561.9
10-12: Manufacture of food products, beverages and tobacco products;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;595.3
10-12: Manufacture of food products, beverages and tobacco products;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;185.2
10-12: Manufacture of food products, beverages and tobacco products;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;94.9
10-12: Manufacture of food products, beverages and tobacco products;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;317.2
10-12: Manufacture of food products, beverages and tobacco products;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;1,130.1
10-12: Manufacture of food products, beverages and tobacco products;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;11.7
10-12: Manufacture of food products, beverages and tobacco products;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;297.0
