data_base,uf,tcb,sr,cliente,ocupacao,cnae_secao,cnae_subclasse,porte,modalidade,origem,indexador,numero_de_operacoes,a_vencer_ate_90_dias,a_vencer_de_91_ate_360_dias,a_vencer_de_361_ate_1080_dias,a_vencer_de_1081_ate_1800_dias,a_vencer_de_1801_ate_5400_dias,a_vencer_acima_de_5400_dias,vencido_acima_de_15_dias,carteira_ativa,carteira_inadimplida_arrastada,ativo_problematico
2023-01-31,PA,Bancário,S3,PJ,-,"PJ - Agricultura, pecuária, produção florestal, pesca e aqüicultura",-,PJ - Pequeno                                 ,PJ - Investimento,Sem destinação específica,Prefixado,<= 15,38574.75,61715.67,32019.98,0.0,0.0,0.0,0.0,132310.4,0.0,0.0
2023-01-31,CE,Não bancário,S5,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Comércio varejista de lubrificantes,PJ - Micro                                   ,PJ - Outros créditos,Sem destinação específica,Prefixado,<= 15,494.22,107.32,0.0,0.0,0.0,0.0,11177.56,11779.1,9573.23,9573.23
2023-01-31,RS,Cooperativas,S4,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Comércio varejista de produtos saneantes domissanitários,PJ - Pequeno                                 ,PJ - Cheque especial e conta garantida,Sem destinação específica,Flutuantes,22,958.79,730347.77,30440.8,0.0,0.0,0.0,0.0,761747.36,0.0,17045.92
2023-01-31,RS,Bancário,S1,PJ,-,PJ - Atividades administrativas e serviços complementares,"PJ - Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes",PJ - Micro                                   ,PJ - Capital de giro,Sem destinação específica,Prefixado,<= 15,38672.41,101911.04,231696.77,19400.09,0.0,0.0,19809.7,411490.01,39724.03,52974.78
2023-01-31,RS,Bancário,S2,PJ,-,PJ - Indústrias de transformação,PJ - Fabricação de artefatos de cimento para uso na construção,PJ - Pequeno                                 ,PJ - Capital de giro,Sem destinação específica,Prefixado,22,139412.5,97150.34,72232.4,454.1,0.0,0.0,0.0,309249.34,0.0,36537.46
2023-01-31,DF,Não bancário,S4,PJ,-,PJ - Construção,"PJ - Instalações hidráulicas, sanitárias e de gás",PJ - Micro                                   ,PJ - Outros créditos,Sem destinação específica,Prefixado,25,10981.44,2321.39,0.0,0.0,0.0,0.0,0.0,13302.83,0.0,0.0
2023-01-31,PA,Cooperativas,S4,PJ,-,"PJ - Atividades profissionais, científicas e técnicas","PJ - Atividades de produção de fotografias, exceto aérea e submarina",PJ - Micro                                   ,PJ - Outros créditos,Sem destinação específica,Prefixado,<= 15,20896.25,8352.9,0.0,0.0,0.0,0.0,9815.9,39065.05,9635.32,9635.32
2023-01-31,CE,Bancário,S1,PJ,-,PJ - Indústrias de transformação,PJ - Recondicionamento e recuperação de motores para veículos automotores,PJ - Micro                                   ,PJ - Cheque especial e conta garantida,Sem destinação específica,Prefixado,<= 15,1605.9,660.5,926.17,784.89,29.2,0.0,0.0,4006.66,0.0,0.0
2023-01-31,TO,Cooperativas,S5,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,"PJ - Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar",PJ - Micro                                   ,PJ - Cheque especial e conta garantida,Sem destinação específica,Prefixado,<= 15,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,20000.0,20000.0
2023-01-31,CE,Bancário,S1,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,"PJ - Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",PJ - Micro                                   ,PJ - Capital de giro,Sem destinação específica,Prefixado,349,524038.61,1111305.15,1320047.3,182928.26,1143.85,0.0,354621.7,3494084.87,597144.22,963042.64
