atividade,descricao,CNAE 4 digitos,cnae_2.0,Secao_ISIC_Rev.4
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0111,011,A
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0112,011,A
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0113,011,A
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0114,011,A
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0115,011,A
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0116,011,A
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0119,011,A
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0121,012,A
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0122,012,A
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0131,013,A
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0132,013,A
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0133,013,A
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0134,013,A
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0135,013,A
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0139,013,A
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0141,014,A
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0142,014,A
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0161,0161,A
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0163,0163,A
0192,"Pecuária, inclusive o apoio à pecuária",0151,015,A
0192,"Pecuária, inclusive o apoio à pecuária",0152,015,A
0192,"Pecuária, inclusive o apoio à pecuária",0153,015,A
0192,"Pecuária, inclusive o apoio à pecuária",0154,015,A
0192,"Pecuária, inclusive o apoio à pecuária",0155,015,A
0192,"Pecuária, inclusive o apoio à pecuária",0159,015,A
0192,"Pecuária, inclusive o apoio à pecuária",0162,0162,A
0192,"Pecuária, inclusive o apoio à pecuária",0170,017,A
0280,Produção florestal; pesca e aquicultura,0210,02,A
0280,Produção florestal; pesca e aquicultura,0220,02,A
0280,Produção florestal; pesca e aquicultura,0230,02,A
0280,Produção florestal; pesca e aquicultura,0311,03,A
0280,Produção florestal; pesca e aquicultura,0312,03,A
0280,Produção florestal; pesca e aquicultura,0321,03,A
0280,Produção florestal; pesca e aquicultura,0322,03,A
0580,Extração de carvão mineral e de minerais não metálicos,0500,05,B
0580,Extração de carvão mineral e de minerais não metálicos,0810,08,B
0580,Extração de carvão mineral e de minerais não metálicos,0891,08,B
0580,Extração de carvão mineral e de minerais não metálicos,0892,08,B
0580,Extração de carvão mineral e de minerais não metálicos,0893,08,B
0580,Extração de carvão mineral e de minerais não metálicos,0899,08,B
0680,"Extração de petróleo e gás, inclusive as atividades de apoio",0600,06,B
0680,"Extração de petróleo e gás, inclusive as atividades de apoio",0910,09,B
0680,"Extração de petróleo e gás, inclusive as atividades de apoio",0990,09,B
0791,"Extração de minério de ferro, inclusive beneficiamento e a aglomeração",0710,071,B
0792,"Extração de minerais metálicos não ferrosos, inclusive beneficiamentos",0721,072,B
0792,"Extração de minerais metálicos não ferrosos, inclusive beneficiamentos",0722,072,B
0792,"Extração de minerais metálicos não ferrosos, inclusive beneficiamentos",0723,072,B
0792,"Extração de minerais metálicos não ferrosos, inclusive beneficiamentos",0724,072,B
0792,"Extração de minerais metálicos não ferrosos, inclusive beneficiamentos",0725,072,B
