atividade,descricao,CNAE 4 digitos
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0111
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0112
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0113
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0114
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0115
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0116
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0119
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0121
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0122
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0131
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0132
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0133
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0134
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0135
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0139
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0141
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0142
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0161
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",0163
0192,"Pecuária, inclusive o apoio à pecuária",0151
0192,"Pecuária, inclusive o apoio à pecuária",0152
0192,"Pecuária, inclusive o apoio à pecuária",0153
0192,"Pecuária, inclusive o apoio à pecuária",0154
0192,"Pecuária, inclusive o apoio à pecuária",0155
0192,"Pecuária, inclusive o apoio à pecuária",0159
0192,"Pecuária, inclusive o apoio à pecuária",0162
0192,"Pecuária, inclusive o apoio à pecuária",0170
0280,Produção florestal; pesca e aquicultura,0210
0280,Produção florestal; pesca e aquicultura,0220
0280,Produção florestal; pesca e aquicultura,0230
0280,Produção florestal; pesca e aquicultura,0311
0280,Produção florestal; pesca e aquicultura,0312
0280,Produção florestal; pesca e aquicultura,0321
0280,Produção florestal; pesca e aquicultura,0322
0580,Extração de carvão mineral e de minerais não metálicos,0500
0580,Extração de carvão mineral e de minerais não metálicos,0810
0580,Extração de carvão mineral e de minerais não metálicos,0891
0580,Extração de carvão mineral e de minerais não metálicos,0892
0580,Extração de carvão mineral e de minerais não metálicos,0893
0580,Extração de carvão mineral e de minerais não metálicos,0899
0680,"Extração de petróleo e gás, inclusive as atividades de apoio",0600
0680,"Extração de petróleo e gás, inclusive as atividades de apoio",0910
0680,"Extração de petróleo e gás, inclusive as atividades de apoio",0990
0791,"Extração de minério de ferro, inclusive beneficiamento e a aglomeração",0710
0792,"Extração de minerais metálicos não ferrosos, inclusive beneficiamentos",0721
0792,"Extração de minerais metálicos não ferrosos, inclusive beneficiamentos",0722
0792,"Extração de minerais metálicos não ferrosos, inclusive beneficiamentos",0723
0792,"Extração de minerais metálicos não ferrosos, inclusive beneficiamentos",0724
0792,"Extração de minerais metálicos não ferrosos, inclusive beneficiamentos",0725
0792,"Extração de minerais metálicos não ferrosos, inclusive beneficiamentos",0729
1091,"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",1011
1091,"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",1012
1091,"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",1013
1091,"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",1020
1091,"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",1051
1091,"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",1052
1091,"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",1053
1092,Fabricação e refino de açúcar,1071
1092,Fabricação e refino de açúcar,1072
1093,Outros produtos alimentares,1031
1093,Outros produtos alimentares,1032
1093,Outros produtos alimentares,1033
1093,Outros produtos alimentares,1041
1093,Outros produtos alimentares,1042
1093,Outros produtos alimentares,1043
1093,Outros produtos alimentares,1061
1093,Outros produtos alimentares,1062
1093,Outros produtos alimentares,1063
1093,Outros produtos alimentares,1064
1093,Outros produtos alimentares,1065
1093,Outros produtos alimentares, 1066
1093,Outros produtos alimentares,1069
1093,Outros produtos alimentares,1081
1093,Outros produtos alimentares,1082
1093,Outros produtos alimentares,1091
1093,Outros produtos alimentares,1092
1093,Outros produtos alimentares,1093
1093,Outros produtos alimentares,1094
1093,Outros produtos alimentares,1095
1093,Outros produtos alimentares,1096
1093,Outros produtos alimentares,1099
1100,Fabricação de bebidas,1111
1100,Fabricação de bebidas,1112
1100,Fabricação de bebidas,1113
1100,Fabricação de bebidas,1121
1100,Fabricação de bebidas,1122
1200,Fabricação de produtos do fumo,1210
1200,Fabricação de produtos do fumo,1220
1300,Fabricação de produtos têxteis,1311
1300,Fabricação de produtos têxteis,1312
1300,Fabricação de produtos têxteis,1313
1300,Fabricação de produtos têxteis,1314
1300,Fabricação de produtos têxteis,1321
1300,Fabricação de produtos têxteis,1322
1300,Fabricação de produtos têxteis,1323
1300,Fabricação de produtos têxteis,1330
1300,Fabricação de produtos têxteis,1340
1300,Fabricação de produtos têxteis,1351
1300,Fabricação de produtos têxteis,1352
