Cod_GTAP;Sec_GTAP;Cod_IBGE;Sec_IBGE;DescrSetor;CodGTAP;GTAP;ShareCN;FatorCN;GTAP_2;IPCA;A-I-S-M;C-NC
1;Agricultura1;0191;1;Agricultura, inclusive o apoio à agricultura e a pós-colheita;1;Agricultura1;1;1;Agricultura1;Alimentos in natura; A;C
2;Pecuaria2;0192;2;Pecuária, inclusive o apoio à pecuária;2;Pecuaria2;1;1;Pecuaria2;Alimentos in natura; A;C
3;FlorPesAqu3;0280;3;"Produção florestal; pesca e aquicultura";3;FlorPesAqu3;1;1;FlorPesAqu3;Alimentos in natura; A;NC
4;MineCarvao4;0580;4;Extração de carvão mineral e de minerais não-metálicos;4;MineCarvao4;1;1;MineCarvao4;Serviços - Subjacente; I;C
5;PetrolGas5;0680;5;Extração de petróleo e gás, inclusive as atividades de apoio;5;PetrolGas5;1;1;PetrolGas5;Serviços - Subjacente; I;C
6;MineMetal6;0791;6;Extração de minério de ferro, inclusive beneficiamentos e a aglomeração;6;MineMetal6;0,87;1;MineMetal6;Serviços - Subjacente; I;C
6;MineNferr7;0792;7;Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos;6;MineNferr7;0,13;1;MineMetal6;Serviços - Subjacente; I;C
7;Abate8;1091;8;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;7;Abate8;1;1;Abate8;Alimentos semi-elaborados; A;NC
8;RefinAcucar9;1092;9;Fabricação e refino de açúcar;8;RefinAcucar9;1;1;RefinAcucar9;Alimentos industrializados; A;C
9;OutAlim10;1093;10;Outros produtos alimentares;9;OutAlim10;1;1;OutAlim10;Alimentos industrializados; A;NC
10;Bebidas11;1100;11;Fabricação de bebidas;10;Bebidas11;0,8;1;Bebidas11;Alimentos industrializados; A;C
10;Fumo12;1200;12;Fabricação de produtos do fumo;10;Fumo12;0,2;1;Bebidas11;Alimentos industrializados; I;C
11;Texteis13;1300;13;Fabricação de produtos têxteis;11;Texteis13;1;1;Texteis13;Duráveis; I;C
12;Vestuario14;1400;14;Confecção de artefatos do vestuário e acessórios;12;Vestuario14;1;1;Vestuario14;Semi-duráveis; I;C
13;Couro15;1500;15;Fabricação de calçados e de artefatos de couro;13;Couro15;1;1;Couro15;Semi-duráveis; I;C
14;Madeira16;1600;16;Fabricação de produtos da madeira;14;Madeira16;1;1;Madeira16;Duráveis; I;C
15;Papel17;1700;17;Fabricação de celulose, papel e produtos de papel;15;Papel17;0,76;1;Papel17;Duráveis; I;C
15;Impres18;1800;18;Impressão e reprodução de gravações;15;Impres18;0,24;1;Papel17;Duráveis; I;C
16;RefiPetrol19;1991;19;Refino de petróleo e coquerias;16;RefiPetrol19;0,91;1;RefiPetrol19;Serviços - Subjacente;M;NC
16;BioComb20;1992;20;Fabricação de biocombustíveis;16;BioComb20;0,09;1;RefiPetrol19;Serviços - Subjacente;M;NC
17;Quimicos21;2091;21;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;17;Quimicos21;0,56;1;Quimicos21;Não duráveis; I;C
17;DefTint22;2092;22;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;17;DefTint22;0,28;1;Quimicos21;Não duráveis; I;C
17;CosmLimp23;2093;23;Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal;17;CosmLimp23;0,16;1;Quimicos21;Não duráveis; I;C
18;Farmacos24;2100;24;Fabricação de produtos farmoquímicos e farmacêuticos;18;Farmacos24;1;1;Farmacos24;Não duráveis;M;NC
19;BorrPlast25;2200;25;Fabricação de produtos de borracha e de material plástico;19;BorrPlast25;1;1;BorrPlast25;Semi-duráveis; I;C
