biome,from_level_1,to_level_2,year,values,total,coeficiente
AMAZÔNIA,1. Forest,Agriculture,1985-1986,2456.5233240417488,990004.4360351791,0.0024813255725194125
AMAZÔNIA,1. Forest,Forest Plantation,1985-1986,0.0,990004.4360351791,0.0
AMAZÔNIA,1. Forest,Land Use Mosaic,1985-1986,39.13493320312496,990004.4360351791,3.9530058430702154e-05
AMAZÔNIA,1. Forest,Pasture,1985-1986,987508.7777779342,990004.4360351791,0.9974791443690499
CAATINGA,1. Forest,Agriculture,1985-1986,3418.2201185852114,16766.901651757835,0.20386712999099907
CAATINGA,1. Forest,Forest Plantation,1985-1986,0.0,16766.901651757835,0.0
CAATINGA,1. Forest,Land Use Mosaic,1985-1986,11398.706535156267,16766.901651757835,0.6798338042354553
CAATINGA,1. Forest,Pasture,1985-1986,1949.9749980163556,16766.901651757835,0.11629906577354565
CERRADO,1. Forest,Agriculture,1985-1986,5375.169480993644,994950.562015337,0.005402448811231273
CERRADO,1. Forest,Forest Plantation,1985-1986,354.1294014587397,994950.562015337,0.0003559266309086027
CERRADO,1. Forest,Land Use Mosaic,1985-1986,735460.6625813405,994950.562015337,0.7391931726654007
CERRADO,1. Forest,Pasture,1985-1986,253760.60055154408,994950.562015337,0.25504845189245934
MATA ATLÂNTICA,1. Forest,Agriculture,1985-1986,10089.553409948738,1226649.8147197198,0.008225292409353295
MATA ATLÂNTICA,1. Forest,Forest Plantation,1985-1986,24674.306327355946,1226649.8147197198,0.020115199979053384
MATA ATLÂNTICA,1. Forest,Land Use Mosaic,1985-1986,921053.785556219,1226649.8147197198,0.7508693797558457
MATA ATLÂNTICA,1. Forest,Pasture,1985-1986,270832.16942619596,1226649.8147197198,0.22079012785574753
PAMPA,1. Forest,Agriculture,1985-1986,22.34314294433595,1530.7747809448076,0.014595970107729084
PAMPA,1. Forest,Forest Plantation,1985-1986,1441.4608896789384,1530.7747809448076,0.9416544534325658
PAMPA,1. Forest,Land Use Mosaic,1985-1986,66.9707483215332,1530.7747809448076,0.043749576459705106
PAMPA,1. Forest,Pasture,1985-1986,0.0,1530.7747809448076,0.0
PANTANAL,1. Forest,Agriculture,1985-1986,0.0,140542.79712282724,0.0
PANTANAL,1. Forest,Forest Plantation,1985-1986,0.0,140542.79712282724,0.0
PANTANAL,1. Forest,Land Use Mosaic,1985-1986,116696.97412944969,140542.79712282724,0.8303305222213735
PANTANAL,1. Forest,Pasture,1985-1986,23845.82299337754,140542.79712282724,0.16966947777862645
AMAZÔNIA,1. Forest,Agriculture,1986-1987,7152.281603863507,1627636.0247537715,0.004394275805578525
AMAZÔNIA,1. Forest,Forest Plantation,1986-1987,8083.522221276723,1627636.0247537715,0.00496641884201328
AMAZÔNIA,1. Forest,Land Use Mosaic,1986-1987,16.0896533752441,1627636.0247537715,9.885289542960406e-06
AMAZÔNIA,1. Forest,Pasture,1986-1987,1612384.131275256,1627636.0247537715,0.9906294200628651
CAATINGA,1. Forest,Agriculture,1986-1987,1967.4178644287133,1349581.2594763387,0.0014577987435836996
CAATINGA,1. Forest,Forest Plantation,1986-1987,27.762862860107376,1349581.2594763387,2.0571464419178326e-05
CAATINGA,1. Forest,Land Use Mosaic,1986-1987,787326.471909822,1349581.2594763387,0.5833857475283248
CAATINGA,1. Forest,Pasture,1986-1987,560259.606839228,1349581.2594763387,0.4151358822636723
CERRADO,1. Forest,Agriculture,1986-1987,80535.57020122671,1314951.185937145,0.06124605313301443
CERRADO,1. Forest,Forest Plantation,1986-1987,19129.22341144408,1314951.185937145,0.01454747797182371
CERRADO,1. Forest,Land Use Mosaic,1986-1987,351389.9130936951,1314951.185937145,0.26722658365699337
CERRADO,1. Forest,Pasture,1986-1987,863896.4792307791,1314951.185937145,0.6569798852381685
MATA ATLÂNTICA,1. Forest,Agriculture,1986-1987,8429.073447644038,745236.3584986137,0.011310604147958673
MATA ATLÂNTICA,1. Forest,Forest Plantation,1986-1987,30268.83475227049,745236.3584986137,0.0406164224371063
MATA ATLÂNTICA,1. Forest,Land Use Mosaic,1986-1987,576944.8790441091,745236.3584986137,0.7741770412362166
MATA ATLÂNTICA,1. Forest,Pasture,1986-1987,129593.57125459008,745236.3584986137,0.1738959321787185
PAMPA,1. Forest,Agriculture,1986-1987,604.9294300415041,27241.519460711665,0.02220615597136375
PAMPA,1. Forest,Forest Plantation,1986-1987,18741.55530773924,27241.519460711665,0.6879776047282801
PAMPA,1. Forest,Land Use Mosaic,1986-1987,7895.03472293092,27241.519460711665,0.2898162393003561
PAMPA,1. Forest,Pasture,1986-1987,0.0,27241.519460711665,0.0
PANTANAL,1. Forest,Agriculture,1986-1987,0.0,93411.75289291979,0.0
PANTANAL,1. Forest,Forest Plantation,1986-1987,0.0,93411.75289291979,0.0
PANTANAL,1. Forest,Land Use Mosaic,1986-1987,75790.09962219844,93411.75289291979,0.8113550733715329
PANTANAL,1. Forest,Pasture,1986-1987,17621.65327072134,93411.75289291979,0.18864492662846696
AMAZÔNIA,1. Forest,Agriculture,1987-1988,3956.591922296143,1713173.25962425,0.0023095106697870954
