setor;GÁS NATURAL;CARVÃO VAPOR;LENHA;PRODUTOS DA CANA;OUTRAS FONTES PRIMÁRIAS;ÓLEO DIESEL;ÓLEO COMBUSTÍVEL;GASOLINA;GLP;QUEROSENE;GÁS DE CIDADE E DE COQUERIA;COQUE DE CARVÃO MINERAL;ELETRICIDADE;CARVÃO VEGETAL;ÁLCOOL ETÍLICO ANIDRO E HIDRATADO;OUTRAS SECUNDÁRIAS DE PETRÓLEO;ALCATRÃO
Energético;2,34;3,94;4,52;4,52;3,31;3,07;3,21;2,87;2,61;2,98;3,07;3,94;0;3,86;3;3,07;3,94
Residencial;2,34;3,78;4,23;4,23;3,31;3,07;3,21;2,87;2,61;2,98;3,07;3,78;0;3,46;2,71;3,07;3,78
Comercial;2,34;3,81;4,23;4,23;3,31;3,07;3,21;2,87;2,61;2,98;3,07;3,81;0;3,48;2,71;3,07;3,81
Público;2,34;3,81;4,23;4,23;3,31;3,07;3,21;2,87;2,61;2,98;3,07;3,81;0;3,79;2,71;3,07;3,07
Agropecuário;2,34;3,78;3,91;3,91;3,31;3,07;3,21;2,87;2,61;2,98;3,07;2,78;0;3,46;2,39;3,07;3,78
Rodoviário;2,34;3,78;3,91;3,91;3,31;3,07;3,21;2,35;2,62;2,97;3,07;3,98;0;3,95;2,76;3,07;3,95
Ferroviário;2,34;3,78;3,91;3,91;3,31;3,07;3,21;2,35;2,62;2,97;3,07;3,98;0;3,95;2,76;3,07;3,95
Aéreo;2,34;3,95;4,59;4,59;3,31;3,07;3,21;2,87;2,62;2,97;3,07;3,95;0;3,95;3,07;3,07;3,95
Hidroviário;2,34;3,95;4,59;4,59;3,31;3,07;3,14;2,87;2,62;2,97;3,07;3,95;0;3,95;3,07;3,07;3,95
Cimento;2,34;3,93;4,46;4,32;3,31;3,07;3,21;2,87;2,62;2,98;3,07;3,93;0;3,66;2,8;3,07;3,93
Ferro-gusa aço;2,34;3,93;4,46;4,32;3,31;3,07;3,21;2,87;2,62;2,98;3,07;3,93;0;3,66;2,8;3,07;3,93
Ferro-ligas;2,34;3,93;4,46;4,32;3,31;3,07;3,21;2,87;2,62;2,98;3,07;3,93;0;3,66;2,8;3,07;3,93
Mineração e pelotiz.;2,34;3,93;4,46;4,32;3,31;3,07;3,21;2,87;2,62;2,98;3,07;3,93;0;3,66;2,8;3,07;3,93
Não ferrosos;2,34;3,93;4,46;4,32;3,31;3,07;3,21;2,87;2,62;2,98;3,07;3,93;0;3,66;2,8;3,07;3,93
Química;2,34;3,93;4,46;4,32;3,31;3,07;3,21;2,87;2,62;2,98;3,07;3,93;0;3,66;2,8;3,07;3,93
Alimentos e bebidas;2,34;3,81;4,55;4,55;3,31;3,07;3,21;2,87;2,61;2,98;3,07;3,93;0;3,48;3,03;3,07;3,81
Têxtil;2,34;3,93;4,46;4,32;3,31;3,07;3,21;2,87;2,62;2,98;3,07;3,93;0;3,66;2,8;3,07;3,93
Papel e celulose;2,34;3,93;4,46;4,32;3,31;3,07;3,21;2,87;2,62;2,98;3,07;3,93;0;3,66;2,8;3,07;3,93
Cerâmica;2,34;3,93;4,46;4,32;3,31;3,07;3,21;2,87;2,62;2,98;3,07;3,93;0;3,66;2,8;3,07;3,93
Outros;2,34;3,93;4,46;4,32;3,31;3,07;3,21;2,87;2,62;2,98;3,07;3,93;0;3,66;2,8;3,07;3,93
Consumo nao id.;2,34;3,93;4,46;4,32;3,31;3,07;3,21;2,87;2,62;2,98;3,07;3,93;0;3,66;2,8;3,07;3,93
