'Atividade,'Descrição,'CNAE 4 dígitos
'0191,"'Agricultura, inclusive o apoio à agricultura e a pós-colheita",'0111+0112+0113+0114+0115+0116+0119+0121+0122+0131+0132+0133+0134+0135+0139+0141+0142+0161+0163
'0192,"'Pecuária, inclusive o apoio à pecuária",'0151+0152+0153+0154+0155+0159+0162+0170
'0280,'Produção florestal; pesca e aquicultura,'0210+0220+0230+0311+0312+0321+0322
'0580,'Extração de carvão mineral e de minerais não metálicos,'0500+0810+0891+0892+0893+0899
'0680,"'Extração de petróleo e gás, inclusive as atividades de apoio",'0600+0910+0990
'0791,"'Extração de minério de ferro, inclusive beneficiamento e a aglomeração",'0710
'0792,"'Extração de minerais metálicos não ferrosos, inclusive beneficiamentos",'0721+0722+0723+0724+0725+0729
'1091,"'Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",'1011+1012+1013+1020+1051+1052+1053
'1092,'Fabricação e refino de açúcar,'1071+1072
'1093,'Outros produtos alimentares,'1031+1032+1033+1041+1042+1043+1061+1062+1063+1064+1065+ 1066+1069+1081+1082+1091+1092+1093+1094+1095+1096+1099
'1100,'Fabricação de bebidas,'1111+1112+1113+1121+1122
'1200,'Fabricação de produtos do fumo,'1210+1220
'1300,'Fabricação de produtos têxteis,'1311+1312+1313+1314+1321+1322+1323+1330+1340+1351+1352+ 1353+1354+1359
'1400,'Confecção de artefatos do vestuário e acessórios,'1411+1412+1413+1414+1421+1422
'1500,'Fabricação de calçados e de artefatos de couro,'1510+1521+1529+1531+1532+1533+1539+1540
'1600,'Fabricação de produtos da madeira,'1610+1621+1622+1623+1629
'1700,"'Fabricação de celulose, papel e produtos de papel",'1710+1721+1722+1731+1732+1733+1741+1742+1749
'1800,'Impressão e reprodução de gravações,'1811+1812+1813+1821+1822+1830
'1991,'Refino de petróleo e coquerias,'1910+1921+1922
'1992,'Fabricação de biocombustíveis,'1931+1932
'2091,"'Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",'2011+2012+2013+2014+2019+2021+2022+2029+2031+2032+2033+ 2040
'2092,"'Fabricação de defensivos, desinfestantes, tintas e químicos diversos",'2051+2052+2071+2072+2073+2091+2092+2093+2094+2099
'2093,"'Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",'2061+2062+2063
'2100,'Fabricação de produtos farmoquímicos e farmacêuticos,'2110+2121+2122+2123
'2200,'Fabricação de produtos de borracha e de material plástico,'2211+2212+2219+2221+2222+2223+2229
'2300,'Fabricação de produtos de minerais não metálicos,'2311+2312+2319+2320+2330+2341+2342+2349+2391+2392+2399
'2491,"'Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",'2411+2412+2421+2422+2423+2424+2431+2439
'2492,'Metalurgia de metais não ferosos e a fundição de metais,'2441+2442+2443+2449+2451+2452
'2500,"'Fabricação de produtos de metal, exceto máquinas e equipamentos",'2511+2512+2513+2521+2522+2531+2532+2539+2541+2542+2543+ 2550+2591+2592+2593+2599
'2600,"'Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",'2610+2621+2622+2631+2632+2640+2651+2652+2660+2670+2680
'2700,'Fabricação de máquinas e equipamentos elétricos,'2710+2721+2722+2731+2732+2733+2740+2751+2759+2790
'2800,'Fabricação de máquinas e equipamentos mecânicos,'2811+2812+2813+2814+2815+2821+2822+2823+2824+2825+2829+ 2831+2832+2833+2840+2851+2852+2853+2854+2861+2862+2863+ 2864+2865+2866+2869
'2991,"'Fabricação de automóveis, caminhões e ônibus, exceto peças",'2910+2920+2930
'2992,'Fabricação de peças e acessórios para veículos automotores,'2941+2942+2943+2944+2945+2949+2950
'3000,"'Fabricação de outros equipamentos de transporte, exceto veículos automotores",'3011+3012+3031+3032+3041+3042+3050+3091+3092+3099
