cliente,cnae_subclasse,sum_carteira_ativa,ano,cnae_subclasse_bcb,codigo_cnae_ibge,atividade_tru68_ibge
PF,-,1034399988527.12,2012,-,-,-
PJ,-,63449755188.54,2012,-,-,-
PJ,Administração pública em geral,46127067599.45,2012,Administração pública em geral,8411,8400
PJ,Atividades de apoio à agricultura não especificadas anteriormente,1895589256.99,2012,Atividades de apoio à agricultura não especificadas anteriormente,0161,0191
PJ,Atividades de apoio à pecuária não especificadas anteriormente,627336263.17,2012,Atividades de apoio à pecuária não especificadas anteriormente,0162,0192
PJ,Criação de bovinos para corte,1490387995.04,2012,Criação de bovinos para corte,0151,0192
PJ,"Horticultura, exceto morango",74819617.7,2012,"Horticultura, exceto morango",0121,0191
PJ,Cantinas - serviços de alimentação privativos,71253339.86,2012,Cantinas - serviços de alimentação privativos,5620,5600
PJ,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,155795820.68,2012,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,5620,5600
PJ,Fornecimento de alimentos preparados preponderantemente para empresas,1029242093.44,2012,Fornecimento de alimentos preparados preponderantemente para empresas,5620,5600
PJ,Hotéis,2568499718.6,2012,Hotéis,5510,5500
PJ,"Lanchonetes, casas de chá, de sucos e similares",2234132089.07,2012,"Lanchonetes, casas de chá, de sucos e similares",5611,5600
PJ,Motéis,78523777.24,2012,Motéis,5510,5500
PJ,Pensões (alojamento),24589706.91,2012,Pensões (alojamento),5590,5500
PJ,Restaurantes e similares,5008099857.78,2012,Restaurantes e similares,5611,5600
PJ,Serviços de alimentação para eventos e recepções - bufê,325188514.26,2012,Serviços de alimentação para eventos e recepções - bufê,5620,5600
PJ,Atividades de condicionamento físico,757630830.39,2012,Atividades de condicionamento físico,9313,9080
PJ,Outras atividades de recreação e lazer não especificadas anteriormente,123545937.54,2012,Outras atividades de recreação e lazer não especificadas anteriormente,9329,9080
PJ,Agências de viagens,1717093835.44,2012,Agências de viagens,7911,7880
PJ,Aluguel de equipamentos recreativos e esportivos,26608657.87,2012,Aluguel de equipamentos recreativos e esportivos,7721,7700
PJ,"Aluguel de fitas de vídeo, DVDs e similares",22576024.8,2012,"Aluguel de fitas de vídeo, DVDs e similares",7722,7700
PJ,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",2504489718.6,2012,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",7732,7700
PJ,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",2213609672.39,2012,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",7739,7700
PJ,Atividades de cobrança e informações cadastrais,813019653.76,2012,Atividades de cobrança e informações cadastrais,8291,7880
PJ,Atividades de limpeza não especificadas anteriormente,187222048.87,2012,Atividades de limpeza não especificadas anteriormente,8129,7880
PJ,Atividades de vigilância e segurança privada,1235570186.27,2012,Atividades de vigilância e segurança privada,8011,8000
PJ,Atividades paisagísticas,113904067.36,2012,Atividades paisagísticas,8130,7880
PJ,Casas de festas e eventos,138835115.63,2012,Casas de festas e eventos,8230,7880
PJ,Casas lotéricas,290825370.88,2012,Casas lotéricas,8299,7880
PJ,Fornecimento e gestão de recursos humanos para terceiros,377162747.05,2012,Fornecimento e gestão de recursos humanos para terceiros,7830,7880
PJ,Fotocópias,184950872.98,2012,Fotocópias,8219,7880
PJ,Limpeza em prédios e em domicílios,1018337854.27,2012,Limpeza em prédios e em domicílios,8121,7880
PJ,Locação de automóveis sem condutor,6689664553.39,2012,Locação de automóveis sem condutor,7711,7700
PJ,Locação de mão-de-obra temporária,752520412.53,2012,Locação de mão-de-obra temporária,7820,7880
PJ,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,3500698918.65,2012,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,8299,7880
PJ,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,751717585.61,2012,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,8219,7880
PJ,Salas de acesso à internet,16288147.32,2012,Salas de acesso à internet,8299,7880
PJ,Serviços combinados de escritório e apoio administrativo,7426825394.81,2012,Serviços combinados de escritório e apoio administrativo,8211,7880
PJ,"Serviços de organização de feiras, congressos, exposições e festas",699350264.78,2012,"Serviços de organização de feiras, congressos, exposições e festas",8230,7880
PJ,Cooperativas de crédito mútuo,6950422768.68,2012,Cooperativas de crédito mútuo,6424,6480
PJ,Correspondentes de instituições financeiras,46956946.68,2012,Correspondentes de instituições financeiras,6619,6480
PJ,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",543901168.73,2012,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",6622,6480
PJ,Holdings de instituições não-financeiras,23445263091.32,2012,Holdings de instituições não-financeiras,6462,6480
PJ,Aluguel de imóveis próprios,6007599863.86,2012,Aluguel de imóveis próprios,6810,6800
PJ,Compra e venda de imóveis próprios,3085207107.76,2012,Compra e venda de imóveis próprios,6810,6800
PJ,Corretagem na compra e venda e avaliação de imóveis,392081264.51,2012,Corretagem na compra e venda e avaliação de imóveis,6821,6800
PJ,Gestão e administração da propriedade imobiliária,3098366224.5,2012,Gestão e administração da propriedade imobiliária,6822,6800
PJ,Agências de publicidade,713047336.34,2012,Agências de publicidade,7311,7380
