Seção,Divisão,Grupo,Classe,Subclasse,Denominação
A,01,01.1,01.11-3,0111-3/01,Cultivo de arroz
A,01,01.1,01.11-3,0111-3/02,Cultivo de milho
A,01,01.1,01.11-3,0111-3/03,Cultivo de trigo
A,01,01.1,01.11-3,0111-3/99,Cultivo de outros cereais não especificados anteriormente
A,01,01.1,01.12-1,0112-1/01,Cultivo de algodão herbáceo
A,01,01.1,01.12-1,0112-1/02,Cultivo de juta
A,01,01.1,01.12-1,0112-1/99,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente
A,01,01.1,01.13-0,0113-0/00,Cultivo de cana-de-açúcar
A,01,01.1,01.14-8,0114-8/00,Cultivo de fumo
A,01,01.1,01.15-6,0115-6/00,Cultivo de soja
A,01,01.1,01.16-4,0116-4/01,Cultivo de amendoim
A,01,01.1,01.16-4,0116-4/02,Cultivo de girassol
A,01,01.1,01.16-4,0116-4/03,Cultivo de mamona
A,01,01.1,01.16-4,0116-4/99,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente
A,01,01.1,01.19-9,0119-9/01,Cultivo de abacaxi
A,01,01.1,01.19-9,0119-9/02,Cultivo de alho
A,01,01.1,01.19-9,0119-9/03,Cultivo de batata-inglesa
A,01,01.1,01.19-9,0119-9/04,Cultivo de cebola
A,01,01.1,01.19-9,0119-9/05,Cultivo de feijão
A,01,01.1,01.19-9,0119-9/06,Cultivo de mandioca
A,01,01.1,01.19-9,0119-9/07,Cultivo de melão
A,01,01.1,01.19-9,0119-9/08,Cultivo de melancia
A,01,01.1,01.19-9,0119-9/09,Cultivo de tomate rasteiro
A,01,01.1,01.19-9,0119-9/99,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente
A,01,01.2,01.21-1,0121-1/01,"Horticultura, exceto morango"
A,01,01.2,01.21-1,0121-1/02,Cultivo de morango
A,01,01.2,01.22-9,0122-9/00,Cultivo de flores e plantas ornamentais
A,01,01.3,01.31-8,0131-8/00,Cultivo de laranja
A,01,01.3,01.32-6,0132-6/00,Cultivo de uva
A,01,01.3,01.33-4,0133-4/01,Cultivo de açaí
A,01,01.3,01.33-4,0133-4/02,Cultivo de banana
A,01,01.3,01.33-4,0133-4/03,Cultivo de caju
A,01,01.3,01.33-4,0133-4/04,"Cultivo de cítricos, exceto laranja"
A,01,01.3,01.33-4,0133-4/05,Cultivo de coco-da-baía
A,01,01.3,01.33-4,0133-4/06,Cultivo de guaraná
A,01,01.3,01.33-4,0133-4/07,Cultivo de maçã
A,01,01.3,01.33-4,0133-4/08,Cultivo de mamão
A,01,01.3,01.33-4,0133-4/09,Cultivo de maracujá
A,01,01.3,01.33-4,0133-4/10,Cultivo de manga
A,01,01.3,01.33-4,0133-4/11,Cultivo de pêssego
A,01,01.3,01.33-4,0133-4/99,Cultivo de frutas de lavoura permanente não especificadas anteriormente
A,01,01.3,01.34-2,0134-2/00,Cultivo de café
A,01,01.3,01.35-1,0135-1/00,Cultivo de cacau
A,01,01.3,01.39-3,0139-3/01,Cultivo de chá-da-índia
A,01,01.3,01.39-3,0139-3/02,Cultivo de erva-mate
A,01,01.3,01.39-3,0139-3/03,Cultivo de pimenta-do-reino
A,01,01.3,01.39-3,0139-3/04,"Cultivo de plantas para condimento, exceto pimenta-do-reino"
A,01,01.3,01.39-3,0139-3/05,Cultivo de dendê
A,01,01.3,01.39-3,0139-3/06,Cultivo de seringueira
A,01,01.3,01.39-3,0139-3/99,Cultivo de outras plantas de lavoura permanente não especificadas anteriormente
A,01,01.4,01.41-5,0141-5/01,"Produção de sementes certificadas, exceto de forrageiras para pasto"
A,01,01.4,01.41-5,0141-5/02,Produção de sementes certificadas de forrageiras para formação de pasto
A,01,01.4,01.42-3,0142-3/00,"Produção de mudas e outras formas de propagação vegetal, certificadas"
A,01,01.5,01.51-2,0151-2/01,Criação de bovinos para corte
A,01,01.5,01.51-2,0151-2/02,Criação de bovinos para leite
A,01,01.5,01.51-2,0151-2/03,"Criação de bovinos, exceto para corte e leite"
A,01,01.5,01.52-1,0152-1/01,Criação de bufalinos
A,01,01.5,01.52-1,0152-1/02,Criação de equinos
A,01,01.5,01.52-1,0152-1/03,Criação de asininos e muares
A,01,01.5,01.53-9,0153-9/01,Criação de caprinos
