word;dict;goo;pt
AIDS;eɪdz;ādz;AUXILIA
AM;æm;nan;nan
African;ˈæf.rɪ.kən;ˈafrəkən;Africana(feminino)
African-American;ˌæf.rɪ.kən əˈmer.ɪ.kən;nan;nan
American;əˈmer.ɪ.kən;əˈmerəkən;Americana(feminino)
Arab;ˈer.əb;ˈerəb;árabe
Asian;ˈeɪ.ʒən;ˈāZHən;Asiática(feminino)
Bible;ˈbaɪ.bəl;ˈbībəl;Bíblia
British;ˈbrɪt̬.ɪʃ;ˈbridiSH;Britânica(feminino)
CEO;ˌsiː.iːˈoʊ;ˌsēˌēˈō;CEO
Canadian;kəˈneɪ.di.ən;kəˈnādēən;canadense
Catholic;ˈkæθ.əl.ɪk;nan;nan
Chinese;tʃaɪˈniːz;ˌCHīˈnēz;chinês
Christian;ˈkrɪs.tʃən;ˈkrisCHən;Cristã(feminino)
Christmas;ˈkrɪs.məs;ˈkrisməs;Natal
Congress;ˈkɑːŋ.ɡres;nan;nan
DNA;ˌdiː.enˈeɪ;ˌdē ˌen ˈā;DNA
Democrat;ˈdem.ə.kræt;nan;nan
English;ˈɪŋ.ɡlɪʃ;ˈiNG(ɡ)liSH;Inglês
European;ˌjʊr.əˈpiː.ən;ˌyo͝orəˈpēən;Europeia(feminino)
French;frentʃ;fren(t)SH;Francesa(feminino)
German;ˈdʒɝː.mən;nan;nan
God;ɡɑːd;ɡäd;Deus
I;aɪ;nan;nan
Indian;ˈɪn.di.ən;ˈindēən;Indiana(feminino)
Internet;ˈɪn.t̬ɚ.net;nan;nan
Iraqi;ɪˈræk.i;iˈräkē;Iraquiana(feminino)
Irish;ˈaɪə.rɪʃ;ˈīriSH;irlandês
Islamic;ɪzˈlæm.ɪk;isˈlämik;islâmico
Israeli;ɪzˈreɪ.li;izˈrālē;israelense
Italian;ɪˈtæl.jən;iˈtalyən;Italiana(feminino)
Japanese;ˌdʒæp.ənˈiːz;ˌjapəˈnēz;japonês
Jew;dʒuː;jo͞o;Judia(feminino)
Jewish;ˈdʒuː.ɪʃ;ˈjo͞oiSH;Judaica(feminino)
Latin;ˈlæt̬.ɪn;ˈlatn;Latim
Mexican;ˈmek.sɪ.kən;ˈmeksək(ə)n;Mexicana(feminino)
Mr;ˈmɪs.tɚ;nan;nan
Mrs;ˈmɪs.ɪz;nan;nan
Ms;məz;nan;nan
Muslim;ˈmɑː.zlem;ˈməzləm;Muçulmana(feminino)
Olympic;oʊˈlɪm.pɪk;əˈlimpik;Olímpica(feminino)
PC;ˌpiːˈsiː;nan;nan
PM;ˌpiːˈem;nan;nan
Palestinian;ˌpæl.əˈstɪn.i.ən;ˌpaləˈstinēən;Palestina(feminino)
