code_gtap11,description_gtap11,code_joaom,comtrade_code
nzl, New Zealand,RestofWorld,554.0
xoc, Rest of Oceania,RestofWorld,
chn, China,China,156.0
hkg," China, Hong Kong SAR",Asia,344.0
jpn, Japan,Asia,392.0
kor, Republic of Korea,Asia,410.0
mng, Mongolia,Asia,496.0
twn, Taiwan Province of China,Asia,
xea, Rest of East Asia,Asia,
brn, Brunei Darussalam,Asia,96.0
khm, Cambodia,Asia,116.0
idn, Indonesia,Asia,360.0
lao, Lao People's Democratic Republ,Asia,418.0
mys, Malaysia,Asia,458.0
phl, Philippines,Asia,608.0
sgp, Singapore,Asia,702.0
tha, Thailand,Asia,764.0
vnm, Viet Nam,Asia,704.0
xse, Rest of Southeast Asia,Asia,
afg, Afghanistan,Asia,4.0
bgd, Bangladesh,Asia,50.0
ind, India,Asia,699.0
npl, Nepal,Asia,524.0
pak, Pakistan,Asia,586.0
lka, Sri Lanka,Asia,144.0
xsa, Rest of South Asia,Asia,
can, Canada,ROA,124.0
usa, United States of America,USA,842.0
mex, Mexico,ROA,484.0
xna, Rest of North America,ROA,
arg, Argentina,Mercosul,32.0
bol, Bolivia (Plurinational State o,AssMercosul,68.0
bra, Brazil,Brasil,76.0
chl, Chile,AssMercosul,152.0
col, Colombia,AssMercosul,170.0
ecu, Ecuador,AssMercosul,218.0
pry, Paraguay,Mercosul,600.0
per, Peru,AssMercosul,604.0
ury, Uruguay,Mercosul,858.0
ven, Venezuela (Bolivarian Republic,ROA,862.0
xsm, Rest of South America,ROA,
cri, Costa Rica,ROA,188.0
gtm, Guatemala,ROA,320.0
hnd, Honduras,ROA,340.0
nic, Nicaragua,ROA,558.0
pan, Panama,ROA,591.0
slv, El Salvador,ROA,222.0
xca, Rest of Central America,ROA,
dom, Dominican Republic,ROA,214.0
hti, Haiti,ROA,332.0
jam, Jamaica,ROA,388.0
pri, Puerto Rico,ROA,
tto, Trinidad and Tobago,ROA,780.0
xcb, Caribbean,ROA,
aut, Austria,EU28,40.0
bel, Belgium,EU28,56.0
bgr, Bulgaria,EU28,100.0
hrv, Croatia,EU28,191.0
