ano,Gg_CO2e_GWP_SAR_household,Gg_CO2e_GWP_SAR_total_8691,Gg_CO2e_GWP_SAR_total_8692,Gg_CO2e_GWP_SAR_1091,Gg_CO2e_GWP_SAR_1100,Gg_CO2e_GWP_SAR_1700,Gg_CO2e_GWP_SAR_0192,Gg_CO2e_GWP_SAR_total
1990,24870.45790652586,15.190432341902236,27.00521305227064,443.0517,81.8475,186.879,569.0894999999999,26193.521251920032
1991,26395.422552374188,15.46780889139579,27.498326918036966,453.4656,90.3147,203.7147,602.5026,27788.38628818362
1992,27226.703940138603,15.771235247680405,28.03775155143183,464.4024,98.7294,222.71339999999998,640.8906,28697.248726937712
1993,29351.809029688353,16.04753465060079,28.52895048995697,456.05909999999994,107.14829999999999,224.7399,642.7449,30827.07771482891
1994,30919.23978300414,16.314785704497787,29.004063474662736,446.75190000000003,117.39,236.9703,660.6243000000001,32426.2951321833
1995,32598.905520925455,16.587938907489345,29.48966916886995,442.9887,230.92860000000002,237.2181,701.3307000000001,34257.44922900181
1996,34225.96522337748,16.784919393886216,29.839856700242166,412.81379999999996,241.1766,243.2115,798.8337,35968.62559947162
1997,35423.451298253836,17.03264426193847,30.280256465668394,367.2123,256.0026,245.5383,818.6325,37158.14989898144
1998,36735.81194784509,17.30601170573972,30.76624303242617,336.0924,281.4126,254.1567,831.8016,38487.34750258326
1999,38548.62347378763,17.482948358456674,31.080797081700755,383.9262,293.6871,270.7215,860.0844000000001,40405.60641922779
2000,40645.57888675783,18.584614067565898,31.843626606511922,379.8795,323.21729999999997,274.83750000000003,904.5183,42578.45972743191
2001,42984.02568757425,20.425539581447325,36.029686416790796,528.3516000000001,341.9976,268.4577,950.1533999999999,45129.44121357249
2002,44628.611617318995,23.730094523187578,38.91566392202128,627.4695,109.0992,285.2892,1017.576,46730.691275764206
2003,46271.25086414184,27.230396843321646,42.22315276629145,728.1267,136.4811,316.8879,1059.5823,48581.78241375145
2004,46827.66738520109,31.631547289336382,45.99753199710165,966.5733000000001,184.8315,331.9659,1134.651,49523.31816448753
2005,48561.960167664336,35.1344980382239,50.3916519949799,1038.009,235.2546,348.642,1205.6835,51475.07541769754
2006,50269.34500534478,38.40033503707156,55.1053114070723,1109.2368,203.6601,369.6483,1260.5082,53305.90405178892
2007,50300.449453725414,42.34968921318828,57.03458983964424,1202.6007,170.1294,390.40680000000003,1313.6634,53476.63403277824
2008,51175.485941330255,48.60785344412514,61.47649936319111,1276.6508999999999,123.93990000000001,405.21389999999997,1404.7656000000002,54496.14059413757
2009,52683.37905956041,50.413568000005476,61.04294048009143,1299.123,71.316,415.4031,1500.5801999999999,56081.2578680405
2010,53450.11904970209,51.21818063466781,59.620682570678404,1411.8132,14.5467,434.35139999999996,1602.6654,57024.33461290743
2011,53726.133271088234,51.98596321955266,59.744168583641766,1539.7830000000001,14.6265,426.35670000000005,1676.1738,57494.80340289142
2012,53934.9253511808,50.27525360841624,62.44955084912303,1725.3831,16.968,428.4525,1685.6616,57904.115355638336
2013,56712.1888589786,53.19685792094815,63.60898528242395,2462.9976,14.666400000000001,464.1189,1789.2924,61560.07000218198
2014,57643.65376071734,52.309069358838705,65.46216692561049,1786.9991999999997,16.9911,503.9412,1837.1451,61906.501597001785
2015,58502.52179753298,51.87845787180991,66.58176434323188,1826.4078,16.7244,533.1207,1805.0844,62802.31931974802
2016,58774.70281106978,51.415820814799645,68.25029068446204,2048.9658,16.7118,575.2404,1756.9461000000001,63292.23302256904
2017,60053.38238895194,31.137056010361555,43.95676398963844,2001.5477999999998,16.3254,561.9285,1716.2879999999998,64424.56590895195
2018,62219.3179699954,23.79571904129568,36.69529095870431,2041.3722,16.6509,573.1089000000001,1750.4361000000001,66661.37707999539
2019,63031.25658758344,18.057246214185234,27.830953785814756,2045.0955,16.6803,574.1546999999999,1753.6281000000001,67466.70338758345
2020,65263.65054808597,13.417341862127044,17.86804813787296,2019.6350999999997,16.4724,567.0063,1731.7965,69629.84623808597
