"CD_MUN","NM_MUN","SIGLA_UF","Symbol_WRB","WRB1","Soil_Group","Legenda","Rotulo","area","porc_mun"
1100015.0,Alta Floresta D'Oeste,RO,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,407.862431461966,0.0577134551585958
1100015.0,Alta Floresta D'Oeste,RO,CMdy,Dystric CAMBISOLS,CAMBISOLS,Dystric CAMBISOLS,CM,917.226687551156,0.129789647731229
1100015.0,Alta Floresta D'Oeste,RO,FRha,Haplic FERRALSOLS,FERRALSOLS,Haplic FERRALSOLS,FR,438.080589645376,0.0619893927855117
1100015.0,Alta Floresta D'Oeste,RO,FRxa,Xanthic FERRALSOLS,FERRALSOLS,Xanthic FERRALSOLS,FR,2006.72070492955,0.283955511677415
1100015.0,Alta Floresta D'Oeste,RO,GLdy,Dystric GLEYSOLS,GLEYSOLS,Dystric GLEYSOLS,GL,213.647759271922,0.0302316404339495
1100015.0,Alta Floresta D'Oeste,RO,LPdy,Dystric LEPTOSOLS,LEPTOSOLS,Dystric LEPTOSOLS,LP,229.730871117625,0.0325074370818303
1100015.0,Alta Floresta D'Oeste,RO,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,1585.34973837334,0.224330568295633
1100015.0,Alta Floresta D'Oeste,RO,PTdy,Dystric PLINTHOSOLS,PLINTHOSOLS,Dystric PLINTHOSOLS,PT,1258.88496196338,0.178135065153406
1100015.0,Alta Floresta D'Oeste,RO,Water,,,Water,Water,9.52127335557383,0.00134728168242896
1100023.0,Ariquemes,RO,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,984.159252592151,0.222330692326429
1100023.0,Ariquemes,RO,FRha,Haplic FERRALSOLS,FERRALSOLS,Haplic FERRALSOLS,FR,1940.32418964091,0.438337209434698
1100023.0,Ariquemes,RO,LPdy,Dystric LEPTOSOLS,LEPTOSOLS,Dystric LEPTOSOLS,LP,135.851888954531,0.0306902002349318
1100023.0,Ariquemes,RO,LPeu,Eutric LEPTOSOLS,LEPTOSOLS,Eutric LEPTOSOLS,LP,221.123236150148,0.049953787512778
1100023.0,Ariquemes,RO,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,1145.09739888574,0.258688110491163
1100031.0,Cabixi,RO,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,60.1537781291837,0.0457666496080588
1100031.0,Cabixi,RO,FRxa,Xanthic FERRALSOLS,FERRALSOLS,Xanthic FERRALSOLS,FR,943.04194352706,0.717492259628604
1100031.0,Cabixi,RO,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,128.796341751935,0.0979918007993057
