atividade_cod;atividade_desc;cnae2_4cod;cnae2_cod;isic4_sec;isic4_cod; isic4_desc;cnae2_desc
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0111;011;A;011;Cultivo de plantas no perenes;Produção de lavouras temporárias
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0111;011;A;012;Cultivo de plantas perennes;Produção de lavouras temporárias
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0112;011;A;011;Cultivo de plantas no perenes;Produção de lavouras temporárias
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0112;011;A;012;Cultivo de plantas perennes;Produção de lavouras temporárias
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0113;011;A;011;Cultivo de plantas no perenes;Produção de lavouras temporárias
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0113;011;A;012;Cultivo de plantas perennes;Produção de lavouras temporárias
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0114;011;A;011;Cultivo de plantas no perenes;Produção de lavouras temporárias
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0114;011;A;012;Cultivo de plantas perennes;Produção de lavouras temporárias
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0115;011;A;011;Cultivo de plantas no perenes;Produção de lavouras temporárias
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0115;011;A;012;Cultivo de plantas perennes;Produção de lavouras temporárias
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0116;011;A;011;Cultivo de plantas no perenes;Produção de lavouras temporárias
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0116;011;A;012;Cultivo de plantas perennes;Produção de lavouras temporárias
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0119;011;A;011;Cultivo de plantas no perenes;Produção de lavouras temporárias
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0119;011;A;012;Cultivo de plantas perennes;Produção de lavouras temporárias
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0121;012;A;011;Cultivo de plantas no perenes;Horticultura e floricultura
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0121;012;A;012;Cultivo de plantas perennes;Horticultura e floricultura
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0122;012;A;011;Cultivo de plantas no perenes;Horticultura e floricultura
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0122;012;A;012;Cultivo de plantas perennes;Horticultura e floricultura
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0131;013;A;011;Cultivo de plantas no perenes;Produção de lavouras permanentes
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0131;013;A;012;Cultivo de plantas perennes;Produção de lavouras permanentes
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0132;013;A;011;Cultivo de plantas no perenes;Produção de lavouras permanentes
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0132;013;A;012;Cultivo de plantas perennes;Produção de lavouras permanentes
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0133;013;A;011;Cultivo de plantas no perenes;Produção de lavouras permanentes
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0133;013;A;012;Cultivo de plantas perennes;Produção de lavouras permanentes
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0134;013;A;011;Cultivo de plantas no perenes;Produção de lavouras permanentes
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0134;013;A;012;Cultivo de plantas perennes;Produção de lavouras permanentes
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0135;013;A;011;Cultivo de plantas no perenes;Produção de lavouras permanentes
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0135;013;A;012;Cultivo de plantas perennes;Produção de lavouras permanentes
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0139;013;A;011;Cultivo de plantas no perenes;Produção de lavouras permanentes
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0139;013;A;012;Cultivo de plantas perennes;Produção de lavouras permanentes
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0141;014;A;011;Cultivo de plantas no perenes;Produção de sementes e mudas certificadas
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0141;014;A;012;Cultivo de plantas perennes;Produção de sementes e mudas certificadas
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0141;014;A;013;Propagación de plantas;Produção de sementes e mudas certificadas
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0142;014;A;011;Cultivo de plantas no perenes;Produção de sementes e mudas certificadas
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0142;014;A;012;Cultivo de plantas perennes;Produção de sementes e mudas certificadas
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0142;014;A;013;Propagación de plantas;Produção de sementes e mudas certificadas
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0161;0161;A;0161;Actividades de apoyo a la agricultura;Atividades de apoio à agricultura
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0163;0163;A;0163;Actividades poscosecha;Atividades de pós-colheita
0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0163;0163;A;0164;Tratamiento de semillas para propagación;Atividades de pós-colheita
0192;Pecuária, inclusive o apoio à pecuária;0151;015;A;014;Ganadería;Pecuária
0192;Pecuária, inclusive o apoio à pecuária;0152;015;A;014;Ganadería;Pecuária
0192;Pecuária, inclusive o apoio à pecuária;0153;015;A;014;Ganadería;Pecuária
0192;Pecuária, inclusive o apoio à pecuária;0154;015;A;014;Ganadería;Pecuária
0192;Pecuária, inclusive o apoio à pecuária;0155;015;A;014;Ganadería;Pecuária
0192;Pecuária, inclusive o apoio à pecuária;0159;015;A;014;Ganadería;Pecuária
0192;Pecuária, inclusive o apoio à pecuária;0162;0162;A;0162;Actividades de apoyo a la ganadería;Atividades de apoio à pecuária
0192;Pecuária, inclusive o apoio à pecuária;0170;017;A;017;Caza ordinaria y mediante trampas y actividades de servicios conexas;Caça e serviços relacionados
0280;"Produção florestal; pesca e aquicultura";0210;02;A;02;SILVICULTURA Y EXTRACCIÓN DE MADERA;PRODUÇÃO FLORESTAL
0280;"Produção florestal; pesca e aquicultura";0220;02;A;02;SILVICULTURA Y EXTRACCIÓN DE MADERA;PRODUÇÃO FLORESTAL
0280;"Produção florestal; pesca e aquicultura";0230;02;A;02;SILVICULTURA Y EXTRACCIÓN DE MADERA;PRODUÇÃO FLORESTAL
0280;"Produção florestal; pesca e aquicultura";0311;03;A;03;PESCA Y ACUICULTURA;PESCA E AQÜICULTURA
0280;"Produção florestal; pesca e aquicultura";0312;03;A;03;PESCA Y ACUICULTURA;PESCA E AQÜICULTURA
0280;"Produção florestal; pesca e aquicultura";0321;03;A;03;PESCA Y ACUICULTURA;PESCA E AQÜICULTURA
0280;"Produção florestal; pesca e aquicultura";0322;03;A;03;PESCA Y ACUICULTURA;PESCA E AQÜICULTURA
0580;Extração de carvão mineral e de minerais não metálicos;0500;05;B;05;EXTRACCIÓN DE CARBÓN DE PIEDRA Y LIGNITO;EXTRAÇÃO DE CARVÃO MINERAL
0580;Extração de carvão mineral e de minerais não metálicos;0810;08;B;08;EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS;EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS
0580;Extração de carvão mineral e de minerais não metálicos;0891;08;B;08;EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS;EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS
0580;Extração de carvão mineral e de minerais não metálicos;0892;08;B;08;EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS;EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS
0580;Extração de carvão mineral e de minerais não metálicos;0893;08;B;08;EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS;EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS
0580;Extração de carvão mineral e de minerais não metálicos;0899;08;B;08;EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS;EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS
0680;Extração de petróleo e gás, inclusive as atividades de apoio;0600;06;B;06;EXTRACCIÓN DE PETRÓLEO CRUDO Y GAS NATURAL;EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL
